iter	Passed	Remaining
168	1228	6041
169	1231	6012
170	1234	5983
171	1238	5960
172	1241	5934
173	1245	5910
174	1247	5883
175	1250	5855
176	1254	5834
177	1257	5808
178	1260	5783
179	1272	5797
180	1280	5795
181	1284	5774
182	1291	5763
183	1298	5760
184	1308	5765
185	1315	5756
186	1323	5754
187	1330	5745
188	1335	5732
189	1339	5712
190	1349	5714
191	1355	5704
192	1360	5688
193	1367	5682
194	1381	5705
195	1390	5705
196	1398	5700
197	1429	5790
198	1437	5786
199	1444	5777
200	1454	5781
201	1464	5785
202	1467	5761
203	1476	5760
204	1490	5781
205	1503	5793
206	1506	5769
207	1518	5780
208	1529	5788
209	1532	5765
210	1542	5766
211	1549	5758
212	1566	5787
213	1578	5796
214	1581	5772
215	1593	5782
216	1605	5791
217	1617	5800
218	1619	5776
219	1632	5786
220	1645	5799
221	1657	5807
222	1664	5799
223	1671	5791
224	1682	5796
225	1692	5794
226	1704	5803
227	1718	5817
228	1724	5806
229	1738	5819
230	1744	5808
231	1755	5811
232	1763	5804
233	1770	5795
234	1776	5784
235	1784	5775
236	1789	5760
237	1793	5741
238	1815	5780
239	1829	5792
240	1841	5800
241	1845	5779
242	1856	5784
243	1860	5764
244	1871	5766
245	1879	5759
246	1882	5740
247	1893	5741
248	1896	5721
249	1907	5721
250	1914	5711
251	1925	5715
252	1936	5717
253	1943	5707
254	1949	5694
255	1955	5684
256	1972	5701
257	1985	5710
258	1992	5700
259	1998	5687
260	2013	5699
261	2018	5685
262	2030	5690
263	2036	5678
264	2046	5676
265	2059	5683
266	2064	5668
267	2069	5653
268	2077	5645
269	2089	5648
270	2100	5651
271	2107	5640
272	2120	5647
273	2125	5632
274	2131	5620
275	2141	5618
276	2152	5617
277	2159	5608
278	2173	5617
279	2186	5623
280	2192	5610
281	2202	5608
282	2217	5616
283	2227	5615
284	2242	5625
285	2249	5615
286	2255	5602
287	2270	5613
288	2276	5601
289	2290	5606
290	2296	5595
291	2306	5591
292	2314	5585
293	2328	5590
294	2334	5578
295	2343	5572
296	2362	5592
297	2374	5593
298	2386	5594
299	2396	5591
300	2406	5587
301	2419	5592
302	2440	5614
303	2447	5603
304	2456	5598
305	2466	5594
306	2477	5591
307	2481	5576
308	2496	5583
309	2502	5570
310	2510	5561
311	2521	5559
312	2529	5551
313	2535	5539
314	2541	5525
315	2548	5515
316	2554	5503
317	2561	5493
318	2581	5511
319	2587	5498
320	2596	5492
321	2611	5497
322	2617	5485
323	2632	5492
324	2646	5496
325	2652	5484
326	2659	5472
327	2665	5461
328	2673	5453
329	2678	5438
330	2689	5435
331	2696	5425
332	2701	5410
333	2708	5401
334	2715	5389
335	2719	5375
336	2727	5365
337	2733	5353
338	2740	5343
339	2745	5329
340	2752	5319
341	2759	5308
342	2764	5295
343	2771	5285
344	2776	5271
345	2784	5262
346	2791	5253
347	2797	5240
348	2803	5229
349	2808	5215
350	2814	5204
351	2824	5200
352	2842	5210
353	2855	5210
354	2865	5207
355	2879	5209
356	2886	5199
357	2897	5196
358	2909	5194
359	2916	5184
360	2929	5186
361	2936	5174
362	2956	5188
363	2971	5191
364	2981	5186
365	2996	5191
366	3003	5180
367	3015	5179
368	3021	5167
369	3027	5155
370	3040	5155
371	3045	5142
372	3055	5136
373	3062	5125
374	3079	5131
375	3085	5121
376	3091	5109
377	3104	5108
378	3109	5095
379	3132	5111
380	3140	5103
381	3157	5108
382	3166	5101
383	3181	5102
384	3197	5106
385	3205	5098
386	3214	5090
387	3227	5091
388	3241	5091
389	3247	5080
390	3261	5079
391	3270	5073
392	3280	5067
393	3289	5059
394	3302	5057
395	3308	5046
396	3321	5045
397	3328	5033
398	3337	5027
399	3345	5018
400	3352	5008
401	3356	4993
402	3364	4983
403	3369	4971
404	3375	4959
405	3381	4947
406	3385	4932
407	3392	4922
408	3396	4907
409	3404	4898
410	3410	4886
411	3414	4873
412	3422	4863
413	3426	4849
414	3432	4839
415	3437	4825
416	3444	4816
417	3449	4803
418	3456	4793
419	3463	4782
420	3467	4768
421	3473	4757
422	3477	4743
423	3484	4734
424	3489	4720
425	3496	4711
426	3501	4699
427	3507	4687
428	3513	4676
429	3517	4663
430	3525	4654
431	3530	4642
432	3536	4630
433	3542	4620
434	3546	4606
435	3553	4596
436	3558	4584
437	3565	4574
438	3570	4563
439	3576	4551
440	3582	4541
441	3586	4528
442	3593	4518
443	3597	4504
444	3604	4495
445	3609	4483
446	3616	4474
447	3621	4462
448	3627	4451
449	3633	4440
450	3637	4427
451	3644	4418
452	3650	4407
453	3654	4394
454	3663	4387
455	3669	4377
456	3675	4367
457	3679	4354
458	3685	4344
459	3689	4331
460	3696	4322
461	3703	4312
462	3708	4300
463	3715	4291
464	3720	4280
465	3726	4270
466	3732	4260
467	3737	4248
468	3746	4242
469	3750	4229
470	3757	4220
471	3761	4208
472	3771	4202
473	3775	4189
474	3782	4180
475	3789	4171
476	3794	4160
477	3801	4151
478	3805	4139
479	3813	4130
480	3818	4120
481	3824	4110
482	3831	4100
483	3835	4088
484	3843	4080
485	3848	4069
486	3855	4061
487	3860	4050
488	3867	4041
489	3875	4033
490	3879	4022
491	3887	4014
492	3892	4002
493	3898	3993
494	3902	3981
495	3909	3972
496	3914	3961
497	3921	3952
498	3928	3943
499	3934	3934
500	3940	3925
501	3945	3914
502	3953	3906
503	3958	3895
504	3965	3887
505	3971	3877
506	3976	3867
507	3982	3857
508	3989	3848
509	3993	3836
510	4001	3828
511	4006	3818
512	4012	3809
513	4018	3799
514	4024	3790
515	4029	3779
516	4037	3771
517	4044	3763
518	4049	3753
519	4057	3745
520	4064	3736
521	4069	3726
522	4076	3717
523	4080	3707
524	4088	3699
525	4094	3689
526	4099	3679
527	4106	3670
528	4109	3659
529	4116	3650
530	4121	3640
531	4128	3631
532	4134	3622
533	4139	3612
534	4145	3603
535	4151	3593
536	4157	3584
537	4163	3575
538	4169	3565
539	4176	3558
540	4183	3549
541	4187	3538
542	4194	3530
543	4200	3520
544	4206	3511
545	4211	3502
546	4218	3493
547	4222	3482
548	4229	3474
549	4233	3464
550	4241	3456
551	4245	3445
552	4252	3437
553	4258	3427
554	4263	3418
555	4269	3409
556	4277	3402
557	4281	3391
558	4288	3383
559	4296	3375
560	4301	3366
561	4308	3357
562	4313	3348
563	4317	3337
564	4324	3329
565	4329	3319
566	4339	3314
567	4346	3306
568	4352	3296
569	4358	3287
570	4364	3278
571	4369	3269
572	4374	3260
573	4381	3251
574	4388	3243
575	4394	3234
576	4400	3225
577	4405	3216
578	4413	3209
579	4418	3199
580	4425	3191
581	4430	3181
582	4437	3173
583	4443	3164
584	4449	3156
585	4455	3147
586	4461	3139
587	4466	3129
588	4470	3119
589	4478	3111
590	4483	3102
591	4489	3093
592	4495	3085
593	4500	3076
594	4504	3066
595	4512	3058
596	4517	3049
597	4522	3040
598	4528	3031
599	4533	3022
600	4538	3013
601	4544	3004
602	4549	2995
603	4555	2986
604	4560	2977
605	4566	2968
606	4572	2960
607	4576	2950
608	4582	2942
609	4586	2932
610	4593	2924
611	4597	2914
612	4604	2907
613	4609	2897
614	4616	2890
615	4621	2881
616	4627	2872
617	4633	2864
618	4637	2854
619	4645	2847
620	4651	2839
621	4657	2830
622	4662	2821
623	4669	2813
624	4674	2804
625	4681	2796
626	4685	2787
627	4692	2779
628	4697	2770
629	4704	2762
630	4709	2754
631	4715	2745
632	4721	2737
633	4726	2728
634	4733	2720
635	4738	2711
636	4749	2706
637	4757	2699
638	4764	2691
639	4767	2681
640	4775	2674
641	4780	2665
642	4786	2657
643	4792	2649
644	4796	2640
645	4803	2632
646	4807	2622
647	4815	2615
648	4822	2607
649	4826	2598
650	4834	2591
651	4839	2583
652	4845	2574
653	4848	2565
654	4853	2556
655	4857	2547
656	4864	2539
657	4869	2531
658	4876	2523
659	4882	2514
660	4889	2507
661	4893	2498
662	4897	2489
663	4901	2480
664	4905	2471
665	4908	2461
666	4911	2452
667	4915	2442
668	4918	2433
669	4921	2424
670	4925	2415
671	4929	2406
672	4932	2396
673	4936	2387
674	4939	2378
675	4942	2369
676	4946	2359
677	4949	2350
678	4952	2341
679	4956	2332
680	4959	2323
681	4962	2314
682	4966	2305
683	4970	2296
684	4975	2287
685	4989	2283
686	4994	2275
687	5000	2267
688	5006	2259
689	5010	2251
690	5018	2244
691	5024	2236
692	5029	2228
693	5037	2221
694	5043	2213
695	5049	2205
696	5055	2197
697	5060	2189
698	5066	2181
699	5070	2173
700	5077	2165
701	5082	2157
702	5088	2149
703	5094	2142
704	5098	2133
705	5105	2126
706	5111	2118
707	5117	2110
708	5122	2102
709	5129	2095
710	5135	2087
711	5139	2078
712	5146	2071
713	5149	2062
714	5157	2055
715	5161	2047
716	5168	2040
717	5173	2031
718	5181	2024
719	5188	2017
720	5194	2010
721	5202	2003
722	5207	1995
723	5212	1987
724	5218	1979
725	5226	1972
726	5232	1964
727	5236	1956
728	5244	1949
729	5250	1941
730	5255	1933
731	5261	1926
732	5268	1919
733	5275	1911
734	5282	1904
735	5288	1897
736	5294	1889
737	5300	1881
738	5306	1874
739	5312	1866
740	5319	1859
741	5324	1851
742	5332	1844
743	5338	1836
744	5343	1829
745	5346	1820
746	5349	1811
747	5352	1803
748	5356	1794
749	5361	1787
750	5366	1779
751	5371	1771
752	5376	1763
753	5384	1756
754	5389	1748
755	5393	1740
756	5396	1732
757	5398	1723
758	5403	1715
759	5405	1707
760	5408	1698
761	5411	1690
762	5414	1681
763	5417	1673
764	5419	1664
765	5422	1656
766	5425	1648
767	5427	1639
768	5430	1631
769	5433	1623
770	5436	1614
771	5439	1606
772	5441	1598
773	5444	1589
774	5447	1581
775	5450	1573
776	5453	1565
777	5455	1556
778	5458	1548
779	5461	1540
780	5464	1532
781	5467	1524
782	5469	1515
783	5472	1507
784	5475	1499
785	5478	1491
786	5481	1483
787	5484	1475
788	5487	1467
789	5490	1459
790	5492	1451
791	5495	1443
792	5498	1435
793	5501	1427
794	5504	1419
795	5507	1411
796	5509	1403
797	5512	1395
798	5515	1387
799	5518	1379
800	5521	1371
801	5523	1363
802	5526	1355
803	5529	1348
804	5532	1340
805	5535	1332
806	5538	1324
807	5540	1316
808	5543	1308
809	5546	1301
810	5549	1293
811	5552	1285
812	5555	1277
813	5558	1270
814	5560	1262
815	5563	1254
816	5566	1246
817	5569	1239
818	5571	1231
819	5574	1223
820	5577	1216
821	5580	1208
822	5583	1200
823	5586	1193
824	5588	1185
825	5591	1177
826	5594	1170
827	5597	1162
828	5599	1155
829	5602	1147
830	5605	1139
831	5608	1132
832	5611	1124
833	5613	1117
834	5616	1109
835	5619	1102
836	5622	1094
837	5624	1087
838	5627	1079
839	5630	1072
840	5633	1064
841	5637	1057
842	5640	1050
843	5643	1043
844	5646	1035
845	5648	1028
846	5651	1020
847	5654	1013
848	5657	1006
849	5659	998
850	5662	991
851	5665	984
852	5667	976
853	5670	969
854	5673	962
855	5675	954
856	5678	947
857	5681	940
858	5685	933
859	5688	925
860	5690	918
861	5693	911
862	5696	904
863	5698	897
864	5701	889
865	5704	882
866	5707	875
867	5710	868
868	5713	861
869	5716	854
870	5719	847
871	5722	839
872	5724	832
873	5727	825
874	5730	818
875	5733	811
876	5735	804
877	5738	797
878	5741	790
879	5744	783
880	5746	776
881	5749	769
882	5752	762
883	5755	755
884	5757	748
885	5760	741
886	5763	734
887	5766	727
888	5769	720
889	5772	713
890	5775	706
891	5778	699
892	5781	692
893	5783	685
894	5786	678
895	5789	671
896	5792	665
897	5794	658
898	5797	651
899	5800	644
900	5803	637
901	5806	630
902	5808	623
903	5811	617
904	5814	610
905	5817	603
906	5820	596
907	5822	589
908	5825	583
909	5828	576
910	5831	569
911	5834	562
912	5836	556
913	5840	549
914	5842	542
915	5845	536
916	5848	529
917	5852	522
918	5854	516
919	5857	509
920	5860	502
921	5863	496
922	5866	489
923	5869	482
924	5871	476
925	5874	469
926	5877	462
927	5880	456
928	5882	449
929	5885	442
930	5888	436
931	5890	429
932	5893	423
933	5896	416
934	5899	410
935	5902	403
936	5904	397
937	5907	390
938	5910	383
939	5913	377
940	5916	370
941	5919	364
942	5921	357
943	5924	351
944	5927	344
945	5930	338
946	5932	332
947	5935	325
948	5938	319
949	5940	312
950	5943	306
951	5946	299
952	5949	293
953	5952	286
954	5954	280
955	5957	274
956	5960	267
957	5962	261
958	5965	255
959	5968	248
960	5971	242
961	5973	235
962	5976	229
963	5979	223
964	5982	216
965	5984	210
966	5987	204
967	5990	198
968	5993	191
969	5995	185
970	5998	179
971	6001	172
972	6004	166
973	6007	160
974	6009	154
975	6012	147
976	6015	141
977	6018	135
978	6021	129
979	6024	122
980	6026	116
981	6029	110
982	6032	104
983	6035	98
984	6038	91
985	6040	85
986	6043	79
987	6046	73
988	6049	67
989	6051	61
990	6054	54
991	6057	48
992	6060	42
993	6063	36
994	6066	30
995	6070	24
996	6073	18
997	6075	12
998	6078	6
999	6081	0
