iter	RMSE
0	667.604568
1	654.573206
2	639.9688909
3	626.7615003
4	613.8802715
5	602.9560028
6	591.3745063
7	581.3012673
8	570.8097331
9	559.7621015
10	549.4791509
11	541.4855336
12	533.4981983
13	525.5083706
14	517.0596275
15	509.2229176
16	501.3618548
17	494.354733
18	487.277974
19	480.4927443
20	473.6419244
21	467.3120757
22	461.6767996
23	455.8035241
24	449.8320198
25	443.4868249
26	438.9815592
27	434.1209542
28	429.6895644
29	424.3328524
30	419.1550628
31	414.6435477
32	410.5229089
33	406.6976881
34	402.5552524
35	398.8094059
36	395.768089
37	392.3119564
38	388.337195
39	385.2057838
40	381.9812666
41	378.7681695
42	375.7871477
43	372.8956686
44	370.0561303
45	367.1606571
46	364.8336602
47	362.3048653
48	359.9620904
49	357.5207968
50	355.3257078
51	353.0083786
52	351.351195
53	349.5138619
54	346.8308036
55	345.2508409
56	343.4476999
57	341.491526
58	339.7778334
59	338.2772749
60	336.901292
61	335.2278206
62	333.8381516
63	332.8818841
64	331.4663028
65	330.4111347
66	328.8076
67	327.4000542
68	325.7610618
69	324.057071
70	322.8421684
71	321.1134758
72	319.7449793
73	318.1368922
74	317.2824978
75	316.6934896
76	315.4830356
77	314.1783607
78	312.7084883
79	312.1917163
80	311.0826021
81	310.1167449
82	308.976094
83	307.7100994
84	306.7154282
85	305.7932991
86	305.2109145
87	304.4149458
88	303.6778628
89	302.8497081
90	301.9900103
91	300.6099593
92	299.8942453
93	299.3452838
94	298.5850223
95	297.7112397
96	297.0772699
97	296.2270907
98	295.3104735
99	294.48921
100	293.6911852
101	292.5554972
102	291.7871923
103	290.8799668
104	290.0318545
105	289.34405
106	288.6913184
107	288.0379742
108	287.285898
109	286.5970698
110	286.124043
111	285.440284
112	284.5923713
113	283.9169327
114	283.4956471
115	283.2694626
116	283.0303022
117	282.4748658
118	281.8634098
119	281.6406785
120	281.1504261
121	280.5898101
122	280.0663513
123	279.3442992
124	278.987014
125	278.8276361
126	278.5971934
127	278.0015211
128	277.220056
129	276.361637
130	275.5757617
131	274.5790587
132	274.2519523
133	273.7395459
134	273.1935927
135	272.9822875
136	272.4348873
137	271.8968663
138	271.5825883
139	271.375808
140	270.6621308
141	269.8267977
142	269.3031391
143	269.0910577
144	268.4583597
145	268.1802585
146	267.4781731
147	267.0510004
148	266.4417643
149	266.2680783
150	265.9119924
151	265.7089906
152	265.4944262
153	264.86853
154	264.2618153
155	263.9732214
156	263.5842851
157	263.1019543
158	262.7069758
159	262.3174073
160	261.8915278
161	261.7115844
162	261.2109777
163	261.0211974
164	260.7573388
165	260.5378769
166	259.8271714
167	259.1838466
168	258.2957264
169	257.7410628
170	257.0350903
171	256.3299852
172	255.6397328
173	255.3208117
174	255.1106709
175	254.9062322
176	254.6913612
177	254.4961
178	254.1160243
179	253.8910963
180	253.4357394
181	252.8633436
182	252.6518207
183	251.87388
184	251.1364741
185	250.7076816
186	250.5182552
187	250.2830644
188	250.0993033
189	249.9308228
190	249.7440624
191	249.2882845
192	248.7647852
193	248.1228217
194	247.6075432
195	247.4118532
196	246.8878355
197	246.4000887
198	246.2048451
199	246.0264762
200	245.8285694
201	245.652736
202	245.1245716
203	244.9332423
204	244.7477611
205	244.0546056
206	243.6036725
207	243.4324405
208	243.2572591
209	242.524995
210	242.3555606
211	241.8475242
212	241.6728789
213	241.5016623
214	240.8973201
215	240.7295251
216	240.1561344
217	239.849294
218	239.6851468
219	239.5242275
220	239.0139386
221	238.612647
222	238.2210218
223	237.7860427
224	237.6266814
225	237.1186484
226	236.9620534
227	236.7148145
228	236.3624054
229	236.0999575
230	235.7905108
231	235.3986744
232	234.6644963
233	234.5162519
234	234.3713203
235	234.1530451
236	233.8408971
237	233.6955632
238	233.1501238
239	233.0074183
240	232.7843425
241	232.5326559
242	231.9074911
243	231.4473618
244	230.914697
245	230.4890168
246	230.2087842
247	230.0730929
248	229.9161896
249	229.3425513
250	228.9414712
251	228.8067485
252	228.6746881
253	228.5486992
254	228.4254025
255	228.1607255
256	227.6898457
257	227.0655696
258	226.5065556
259	226.3815543
260	226.006727
261	225.7274642
262	225.5009627
263	225.3818049
264	225.2585951
265	225.1142317
266	224.6590917
267	224.2104792
268	223.7425013
269	223.6187623
270	223.5067662
271	223.269988
272	223.1138934
273	222.8663496
274	222.7483615
275	222.3843441
276	222.2717001
277	221.7422439
278	221.5379431
279	220.9912713
280	220.8826558
281	220.5936628
282	219.9150958
283	219.6333638
284	218.9839283
285	218.6257012
286	218.5173177
287	218.2421247
288	217.8414247
289	217.7273379
290	217.3472203
291	217.2439695
292	217.0613065
293	216.7245423
294	216.6255556
295	216.5287101
296	216.1738017
297	215.8801351
298	215.7846735
299	215.4027287
300	215.3003405
301	215.1979724
302	214.7703941
303	214.559816
304	214.457976
305	214.3673428
306	214.1846833
307	214.0201387
308	213.866783
309	213.5376258
310	213.4421033
311	213.2414747
312	213.1513358
313	212.9921697
314	212.7309238
315	212.6436939
316	212.3902279
317	212.2995947
318	212.1639364
319	212.0734455
320	211.9366678
321	211.8517961
322	211.766317
323	211.5984543
324	211.2552732
325	211.1002274
326	210.8307146
327	210.5077972
328	210.2547716
329	209.9689483
330	209.6908232
331	209.3042679
332	209.1369476
333	209.030018
334	208.9469149
335	208.7868194
336	208.638922
337	208.308593
338	208.1642645
339	208.04284
340	207.7285427
341	207.2301074
342	206.8962388
343	206.8100458
344	206.7268868
345	206.6463014
346	206.4745024
347	206.1945501
348	206.1097195
349	205.8681253
