iter	RMSE
0	662.2561092
1	644.5849443
2	624.3627048
3	605.4812875
4	585.3885197
5	568.5656744
6	550.2893175
7	533.1113868
8	515.7418672
9	500.6883993
10	484.5036676
11	470.1887325
12	454.4359887
13	440.003665
14	426.0302182
15	413.7820223
16	401.1672796
17	387.9240665
18	377.1717498
19	368.0648544
20	356.9911452
21	347.1376137
22	336.0017315
23	325.4603693
24	316.5431604
25	308.2130771
26	300.1970881
27	292.0422213
28	284.1373816
29	276.0463236
30	267.5230047
31	259.9925884
32	251.7448188
33	244.627844
34	237.4515435
35	231.0274153
36	224.9179255
37	218.3326419
38	212.7706074
39	207.1710344
40	201.1237503
41	195.2165467
42	189.777297
43	184.7505851
44	180.1370375
45	175.9531636
46	171.3176724
47	166.6990507
48	162.374828
49	158.077503
50	153.8751651
51	150.1637179
52	146.4773865
53	142.7790229
54	139.094742
55	135.6832459
56	132.6278921
57	129.4804281
58	126.3202777
59	123.2445865
60	120.7279203
61	118.2501384
62	116.0457083
63	113.648874
64	111.132074
65	108.7761218
66	106.4530282
67	103.9900085
68	101.8617927
69	99.82964243
70	97.5456205
71	95.44720818
72	93.65474021
73	91.67217237
74	90.16036627
75	88.20328806
76	86.71201485
77	85.23065188
78	83.49513155
79	81.77250725
80	80.33182182
81	78.93297061
82	77.54292925
83	76.31305005
84	74.92395936
85	73.7939554
86	72.85257829
87	71.71127221
88	70.71040236
89	69.47090423
90	68.62357685
91	68.20939883
92	67.26870811
93	66.27760928
94	65.33773295
95	64.70640833
96	63.95926269
97	63.09594759
98	62.26440564
99	61.55464671
100	61.21833813
101	60.23773529
102	59.52690346
103	59.1153129
104	58.31829312
105	57.49976329
106	57.24750925
107	56.9986022
108	56.32445282
109	55.60914451
110	54.92749615
111	54.46689763
112	54.20046484
113	53.57967489
114	52.87990194
115	52.66640178
116	52.45638388
117	52.0853034
118	51.71969279
119	51.15124769
120	50.89637085
121	50.62205488
122	50.32236496
123	49.96940345
124	49.72187364
125	49.54357398
126	48.92290506
127	48.61562192
128	48.18499328
129	47.63696116
130	47.43593857
131	47.14677643
132	46.93506686
133	46.70351895
134	46.53201904
135	46.17639094
136	45.7752878
137	45.41521158
138	44.90976328
139	44.76423792
140	44.26544571
141	43.90207691
142	43.75695817
143	43.58119151
144	43.32683929
145	42.91606559
146	42.71127263
147	42.53441884
148	42.40804771
149	42.25834807
150	41.76317835
151	41.44536734
152	41.31212186
153	41.19754048
154	41.07263263
155	40.9486857
156	40.84867329
